,Season,Number of Teams,Number of Drivers,Number of Races,Number of New Regulations,New Regulations Impacting Aerodynamics,Fatalities,Average Car Weight (kg),DRS,Overtakes
0,1990,14,39,16,1,0,0,505,False,544
1,1991,12,26,16,1,0,0,505,False,518
2,1992,12,26,16,1,0,0,505,False,426
3,1993,12,26,16,1,0,0,505,False,434
4,1994,12,26,16,2,1,3,505,False,287
5,1995,12,26,17,1,1,1,595,False,345
6,1996,11,22,16,1,0,0,595,False,212
7,1997,11,22,17,1,0,0,595,False,334
8,1998,11,22,16,1,0,0,595,False,217
9,1999,11,22,16,1,0,0,595,False,298
10,2000,11,22,16,1,0,0,595,False,350
11,2001,11,22,17,1,0,0,595,False,277
12,2002,11,22,17,1,0,0,595,False,274
13,2003,11,22,16,1,1,1,595,False,357
14,2004,11,22,18,1,0,0,595,False,375
15,2005,10,20,19,3,2,0,605,False,246
16,2006,11,22,18,1,1,0,605,False,345
17,2007,11,22,17,1,0,0,605,False,376
18,2008,10,20,18,2,1,0,585,False,366
19,2009,10,20,16,3,3,1,605,False,301
20,2010,12,24,19,3,0,0,620,False,615
21,2011,12,24,19,2,0,0,640,True,1249
22,2012,11,22,20,2,1,0,640,True,1229
23,2013,11,22,19,1,0,0,642,True,1029
24,2014,11,22,19,4,2,1,690,True,871
25,2015,11,22,19,1,0,0,702,True,629
26,2016,11,22,21,1,0,0,702,True,1097
27,2017,10,20,20,1,2,0,728,True,509
28,2018,10,20,21,1,1,0,734,True,749
29,2019,10,20,21,2,1,0,743,True,949
30,2020,10,20,17,2,0,0,746,True,628
31,2021,10,20,22,5,2,0,752,True,807
32,2022,10,20,23,5,5,0,795,True,994
33,2023,10,20,23,4,4,0,798,True,1101
